Matiere;SousMatiere;Nom du logiciel,https://drive.google.com/uc?export=view&id=1JaorJQxyDgng1EmE1Dv5zIophB0Xuv-m,lien  vers l'icone
Accessibilite;Outils pour les DYS;Anki;http://lien
Accessibilite;Outils pour les DYS;Chewing Word;http://lien
Accessibilite;Outils pour les DYS;Clavier visuel 64 bits;http://lien
Accessibilite;Outils pour les DYS;DSpeech;http://lien
Accessibilite;Outils pour les DYS;Dicom;http://lien
Accessibilite;Outils pour les DYS;Dicorime-QDictionnaire;http://lien
Accessibilite;Outils pour les DYS;Frilogos;http://lien
Accessibilite;Outils pour les DYS;ToutEnClic;http://lien
Accessibilite;Synthèse vocale;Balabolka;http://lien
Accessibilite;Synthèse vocale;FireFox Navigateur Vocal;http://lien
Accessibilite;Synthèse vocale;Libreoffice vocal;http://lien
Accessibilite;Synthèse vocale;Tutoriel Synthèse vocale avec FireFox;http://lien
Accessibilite;Synthèse vocale;Tutoriel synthèse vocale dans LibreOffice;http://lien
Accessibilite;Voix à installer;Emily Anglais(GB);http://lien
Accessibilite;Voix à installer;Isabel Espagnol;http://lien
Accessibilite;Voix à installer;Katerina Russe;http://lien
Accessibilite;Voix à installer;Raquel Portugais (Brésil);http://lien
Accessibilite;Voix à installer;Silvia Italien;http://lien
Accessibilite;Voix à installer;Steffi Allemand;http://lien
Accessibilite;Voix à installer;Virginie Français;http://lien
ArtPlastique;Artweaver;http://lien
ArtPlastique;Cliplets;http://lien
ArtPlastique;FormatFactory;http://lien
ArtPlastique;Free Video Editor;http://lien
ArtPlastique;Gimp;http://lien
ArtPlastique;Krita;http://lien
ArtPlastique;MonkeyJam;http://lien
ArtPlastique;Openshot Video Editor;http://lien
ArtPlastique;Pencil2D;https://drive.google.com/uc?export=download&id=140lJD7zT9CyY8Pp-bBZRBYHGnGAgHMgE&confirm=t
ArtPlastique;PhotoFiltre 7;http://lien
ArtPlastique;VLC;http://lien
ArtPlastique;VideoPad;https://lien
ArtPlastique;XnViewMP;https://drive.google.com/uc?export=download&id=19MCjB9KUzEH8vZWXmeNf-XyyhaH8szvX&confirm=t

